andrews,OUTLAW,OUTLAW,1334,MAGICIAN,786,HERO,1148,LOVER,900,JESTER,510,EVERYMAN,943,CAREGIVER,675,RULER,1102,CREATOR,992,INNOCENT,954,SAGE,906,EXPLORER,977,
angelescollege,EVERYMAN,OUTLAW,1636,MAGICIAN,2601,HERO,1525,LOVER,1972,JESTER,1548,EVERYMAN,3455,CAREGIVER,1667,RULER,1341,CREATOR,1213,INNOCENT,2309,SAGE,977,EXPLORER,1037,
angelo,EVERYMAN,OUTLAW,133,MAGICIAN,312,HERO,198,LOVER,0,JESTER,274,EVERYMAN,394,CAREGIVER,337,RULER,287,CREATOR,119,INNOCENT,151,SAGE,312,EXPLORER,120,
anselm,LOVER,OUTLAW,2714,MAGICIAN,2274,HERO,2732,LOVER,4083,JESTER,2460,EVERYMAN,2644,CAREGIVER,2115,RULER,3640,CREATOR,2171,INNOCENT,3388,SAGE,2728,EXPLORER,2053,
antiochla,MAGICIAN,OUTLAW,775,MAGICIAN,1513,HERO,1010,LOVER,969,JESTER,1323,EVERYMAN,1067,CAREGIVER,1464,RULER,431,CREATOR,992,INNOCENT,878,SAGE,911,EXPLORER,1016,
antiochne,MAGICIAN,OUTLAW,1108,MAGICIAN,2054,HERO,1010,LOVER,1384,JESTER,1671,EVERYMAN,1314,CAREGIVER,1871,RULER,527,CREATOR,1191,INNOCENT,1431,SAGE,1265,EXPLORER,1196,
appstate,EXPLORER,OUTLAW,995,MAGICIAN,678,HERO,733,LOVER,519,JESTER,745,EVERYMAN,719,CAREGIVER,738,RULER,910,CREATOR,1119,INNOCENT,502,SAGE,675,EXPLORER,1267,
apsu,INNOCENT,OUTLAW,882,MAGICIAN,678,HERO,970,LOVER,1315,JESTER,715,EVERYMAN,897,CAREGIVER,632,RULER,623,CREATOR,780,INNOCENT,1506,SAGE,746,EXPLORER,699,
apus,JESTER,OUTLAW,441,MAGICIAN,810,HERO,574,LOVER,173,JESTER,1617,EVERYMAN,634,CAREGIVER,1210,RULER,1341,CREATOR,399,INNOCENT,201,SAGE,708,EXPLORER,448,
aquinas,HERO,OUTLAW,575,MAGICIAN,473,HERO,931,LOVER,692,JESTER,382,EVERYMAN,472,CAREGIVER,494,RULER,814,CREATOR,555,INNOCENT,602,SAGE,732,EXPLORER,573,
arapahoe,RULER,OUTLAW,821,MAGICIAN,649,HERO,733,LOVER,1073,JESTER,451,EVERYMAN,873,CAREGIVER,673,RULER,1533,CREATOR,840,INNOCENT,703,SAGE,793,EXPLORER,841,
arcadia,JESTER,OUTLAW,918,MAGICIAN,888,HERO,871,LOVER,1488,JESTER,3695,EVERYMAN,765,CAREGIVER,2251,RULER,1629,CREATOR,1043,INNOCENT,828,SAGE,1553,EXPLORER,895,
arizona,LOVER,OUTLAW,405,MAGICIAN,327,HERO,515,LOVER,588,JESTER,358,EVERYMAN,394,CAREGIVER,424,RULER,479,CREATOR,356,INNOCENT,452,SAGE,467,EXPLORER,333,
armstrong,INNOCENT,OUTLAW,718,MAGICIAN,732,HERO,970,LOVER,1107,JESTER,466,EVERYMAN,959,CAREGIVER,602,RULER,1006,CREATOR,678,INNOCENT,1305,SAGE,944,EXPLORER,655,
artcenter,RULER,OUTLAW,154,MAGICIAN,142,HERO,238,LOVER,104,JESTER,142,EVERYMAN,155,CAREGIVER,137,RULER,1629,CREATOR,301,INNOCENT,176,SAGE,472,EXPLORER,251,
artinstitutes,EVERYMAN,OUTLAW,1139,MAGICIAN,2777,HERO,1247,LOVER,2214,JESTER,1171,EVERYMAN,3679,CAREGIVER,1449,RULER,479,CREATOR,975,INNOCENT,1832,SAGE,939,EXPLORER,666,
asbury,JESTER,OUTLAW,3006,MAGICIAN,2718,HERO,3287,LOVER,2041,JESTER,4194,EVERYMAN,3223,CAREGIVER,3305,RULER,2203,CREATOR,2972,INNOCENT,2711,SAGE,1487,EXPLORER,3587,
